U,V
0.996219281663516,0.030245746691871456
0.9792060491493384,0.4621928166351607
0.8827977315689981,0.3780718336483932
0.9073724007561437,0.3667296786389414
0.9272211720226843,0.6710775047258979
0.9829867674858223,0.5916824196597353
0.8922495274102079,0.4716446124763705
0.7599243856332704,0.4546313799621928
0.9224952741020794,0.6408317580340265
0.998109640831758,0.17013232514177692
0.889413988657845,0.3950850661625709
0.8676748582230623,0.5973534971644613
0.946124763705104,0.48582230623818523
0.5822306238185255,0.7637051039697542
0.7551984877126654,0.33553875236294894
0.8809073724007561,0.5189035916824196
0.9517958412098299,0.14744801512287334
0.5897920604914934,0.7485822306238186
0.5189035916824196,0.667296786389414
0.6219281663516069,0.775992438563327
0.8516068052930057,0.725897920604915
0.8998109640831758,0.387523629489603
0.9489603024574669,0.39792060491493386
0.7551984877126654,0.7325141776937618
0.9130434782608695,0.444234404536862
0.6587901701323251,0.9650283553875236
0.7051039697542533,0.8374291115311909
0.9517958412098299,0.3742911153119093
0.48015122873345933,0.6805293005671077
0.6729678638941399,0.7618147448015122
0.6427221172022685,0.8081285444234405
0.8544423440453687,0.6493383742911153
0.7514177693761814,0.5633270321361059
0.5132325141776938,0.7911153119092628
0.9111531190926276,0.4952741020793951
0.7939508506616257,0.9262759924385633
0.8355387523629489,0.8166351606805293
0.5066162570888468,0.9149338374291115
0.5283553875236295,0.7400756143667296
0.9546313799621928,0.5652173913043478
0.6068052930056711,0.8809073724007561
0.7155009451795841,0.4763705103969754
0.7835538752362949,0.9735349716446124
0.8979206049149339,0.77882797731569
0.8960302457466919,0.8487712665406427
0.8752362948960303,0.832703213610586
0.8714555765595463,0.7032136105860114
0.8279773156899811,0.6162570888468809
0.8676748582230623,0.9584120982986768
0.8487712665406427,0.8128544423440454
0.8128544423440454,0.8979206049149339
0.7731568998109641,0.782608695652174
0.8402646502835539,0.8194706994328923
0.94234404536862,0.722117202268431
0.8024574669187146,0.3799621928166352
0.5066162570888468,0.20132325141776938
0.6342155009451795,0.6342155009451795
0.665406427221172,0.001890359168241966
0.32892249527410206,0.6559546313799622
0.4914933837429111,0.42344045368620037
0.6805293005671077,0.5765595463137996
0.6587901701323251,0.43289224952741023
0.5822306238185255,0.5189035916824196
0.4678638941398866,0.6880907372400756
0.5066162570888468,0.6540642722117203
0.7098298676748582,0.39224952741020797
0.5614366729678639,0.720226843100189
0.31947069943289225,0.5
0.6729678638941399,0.5822306238185255
0.500945179584121,0.7296786389413988
0.4555765595463138,0.9224952741020794
0.9054820415879017,0.4007561436672968
0.32419659735349715,0.6691871455576559
0.3506616257088847,0.7466918714555766
0.389413988657845,0.6181474480151229
0.6001890359168242,0.6200378071833649
0.6266540642722117,0.941398865784499
0.48015122873345933,0.6030245746691871
0.6465028355387523,0.8506616257088847
0.4120982986767486,0.44234404536862004
0.6521739130434783,0.7693761814744802
0.4045368620037807,0.8194706994328923
0.43194706994328924,0.6427221172022685
0.7693761814744802,0.9300567107750473
0.3553875236294896,0.9243856332703214
0.43194706994328924,0.9376181474480151
0.556710775047259,0.9603024574669187
0.41965973534971646,0.8846880907372401
0.6427221172022685,0.5879017013232514
0.776937618147448,0.9688090737240076
0.6342155009451795,0.9130434782608695
0.6729678638941399,0.6521739130434783
0.6587901701323251,0.9773156899810964
0.7599243856332704,0.7948960302457467
0.776937618147448,0.4886578449905482
0.7599243856332704,0.8733459357277883
0.776937618147448,0.725897920604915
0.7977315689981096,0.9621928166351607
0.8223062381852552,0.23629489603024575
0.5614366729678639,0.41965973534971646
0.6153119092627599,0.7655954631379962
0.5340264650283554,0.3818525519848771
0.5897920604914934,0.10302457466918714
0.4725897920604915,0.34782608695652173
0.7391304347826086,0.31096408317580343
0.7693761814744802,0.5217391304347826
0.30907372400756145,0.6729678638941399
0.39697542533081287,0.4952741020793951
0.5226843100189036,0.5434782608695652
0.6984877126654064,0.2684310018903592
0.30907372400756145,0.7088846880907372
0.4914933837429111,0.3431001890359168
0.7098298676748582,0.5954631379962193
0.6219281663516069,0.6285444234404537
0.34026465028355385,0.42722117202268434
0.8676748582230623,0.33175803402646503
0.2391304347826087,0.8251417769376181
0.3714555765595463,0.6001890359168242
0.43194706994328924,0.5396975425330813
0.44328922495274103,0.8081285444234405
0.4678638941398866,0.611531190926276
0.28733459357277885,0.5595463137996219
0.46313799621928164,0.8052930056710775
0.34026465028355385,0.7977315689981096
0.44328922495274103,0.42533081285444235
0.33553875236294894,0.7362948960302458
0.6805293005671077,0.45179584120982985
0.5775047258979206,0.8431001890359168
0.3629489603024575,0.9281663516068053
0.6001890359168242,0.14555765595463138
0.3799621928166352,0.9035916824196597
0.5718336483931947,0.8931947069943289
0.6984877126654064,0.775992438563327
0.7268431001890359,0.2277882797731569
0.7391304347826086,0.9338374291115312
0.6219281663516069,0.43005671077504726
0.552930056710775,0.945179584120983
0.7315689981096408,0.9867674858223062
0.7901701323251418,0.6049149338374291
0.722117202268431,0.9829867674858223
0.7882797731568998,0.5916824196597353
0.8620037807183365,0.7844990548204159
0.8298676748582231,0.41776937618147447
0.552930056710775,0.2570888468809074
0.665406427221172,0.7003780718336484
0.6871455576559546,0.04158790170132325
0.23251417769376181,0.9489603024574669
0.43194706994328924,0.3572778827977316
0.6984877126654064,0.5330812854442344
0.7863894139886578,0.4120982986767486
0.3629489603024575,0.4716446124763705
0.41965973534971646,0.5472589792060492
0.4962192816635161,0.23156899810964082
0.6729678638941399,0.2835538752362949
0.41965973534971646,0.2948960302457467
0.22684310018903592,0.48015122873345933
0.5897920604914934,0.9395085066162571
0.4045368620037807,0.7674858223062382
0.389413988657845,0.6143667296786389
0.8223062381852552,0.7400756143667296
